wavelength_um,rsr_watts,sensor,band
11.35,0.095180858604523,l8_tirs,tirs2
11.4,0.177075297609738,l8_tirs,tirs2
11.45,0.305834959187717,l8_tirs,tirs2
11.5,0.47818094373835,l8_tirs,tirs2
11.55,0.677969452157887,l8_tirs,tirs2
11.6,0.856502695450247,l8_tirs,tirs2
11.65,0.966787345819513,l8_tirs,tirs2
11.7,0.977679662899221,l8_tirs,tirs2
11.75,0.906317160502406,l8_tirs,tirs2
11.8,0.862368040708062,l8_tirs,tirs2
11.85,0.829035771357732,l8_tirs,tirs2
11.9,0.859573528680785,l8_tirs,tirs2
11.95,0.896279126383602,l8_tirs,tirs2
12,0.972061677963862,l8_tirs,tirs2
12.05,0.997528121254284,l8_tirs,tirs2
12.1,0.987537924750525,l8_tirs,tirs2
12.15,0.987631546968929,l8_tirs,tirs2
12.2,0.954109591397947,l8_tirs,tirs2
12.25,0.923587577394721,l8_tirs,tirs2
12.3,0.961260941723299,l8_tirs,tirs2
12.35,1,l8_tirs,tirs2
12.4,0.977224355536454,l8_tirs,tirs2
12.45,0.801016340417957,l8_tirs,tirs2
12.5,0.524503731147106,l8_tirs,tirs2
12.55,0.292116912011544,l8_tirs,tirs2
12.6,0.152235337429145,l8_tirs,tirs2
12.65,0.074032875662661,l8_tirs,tirs2
12.7,0.0342463678920594,l8_tirs,tirs2
12.75,0.0134601357964161,l8_tirs,tirs2
12.8,0.00680364922440368,l8_tirs,tirs2
12.85,0.00339808899533681,l8_tirs,tirs2
12.9,0.00331508988849944,l8_tirs,tirs2
12.95,0.00326349474609247,l8_tirs,tirs2
13,0.00327493733685755,l8_tirs,tirs2
13.05,0.00199709034882091,l8_tirs,tirs2
13.1,0.00207517763946802,l8_tirs,tirs2
13.15,0.00185101488473932,l8_tirs,tirs2
13.2,0.00232204066010091,l8_tirs,tirs2
13.25,0.00183786169813943,l8_tirs,tirs2
13.3,0.0023183001861458,l8_tirs,tirs2
13.35,0.00242489779816727,l8_tirs,tirs2
13.4,0.00235949965853014,l8_tirs,tirs2
13.45,0.00209165998173836,l8_tirs,tirs2
13.5,0.00176570649931015,l8_tirs,tirs2
13.55,0.00180533005067866,l8_tirs,tirs2
13.6,0.0017257920482782,l8_tirs,tirs2
13.65,0.00186750705446745,l8_tirs,tirs2
13.7,0.0017807251440948,l8_tirs,tirs2
13.75,0.00185070948746659,l8_tirs,tirs2
13.8,0.00176348589010076,l8_tirs,tirs2
13.85,0.00182704922716702,l8_tirs,tirs2
13.9,0.00194134413286397,l8_tirs,tirs2
13.95,0.00183454058923838,l8_tirs,tirs2
14,0.00176322696421511,l8_tirs,tirs2
